Channel,Label,Control
E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw,EGFP_Flag_IP,TRUE
E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722142047.raw,EGFP_Flag_IP,TRUE
E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722202358.raw,EGFP_Flag_IP,TRUE
E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw,EGFP_Flag_XLIP,TRUE
E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722153152.raw,EGFP_Flag_XLIP,TRUE
E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722213505.raw,EGFP_Flag_XLIP,TRUE
E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw,MLH1_Flag_IP,FALSE
E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722164251.raw,MLH1_Flag_IP,FALSE
E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722224609.raw,MLH1_Flag_IP,FALSE
E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw,MLH1_Flag_XLIP,FALSE
E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722175352.raw,MLH1_Flag_XLIP,FALSE
E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722235712.raw,MLH1_Flag_XLIP,FALSE